2022-05-09 14:51:13.775738 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 11:58:44.944416 CLASS: MAIN, METHOD: main() LOG: asistente abre la carpeta documentos
2022-05-11 11:58:44.949645 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: open folder Documentos
2022-05-11 11:58:53.351223 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:open_folder(Documentos)
2022-05-11 12:00:05.764192 CLASS: MAIN, METHOD: main() LOG: qué c******
2022-05-11 12:00:47.661891 CLASS: MAIN, METHOD: main() LOG: asistente abre la carpeta documentos
2022-05-11 12:00:47.665046 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: open folder Documentos
2022-05-11 12:00:55.904788 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:open_folder(Documentos)
2022-05-11 12:02:33.483897 CLASS: MAIN, METHOD: main() LOG: asistente abre la carpeta next clau
2022-05-11 12:02:33.486897 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: open folder 
2022-05-11 12:02:38.028113 CLASS: OPEN_FOLDER, METHOD: open_folder LOG: Abriendo una carpeta en: /home/javi
2022-05-11 12:02:38.031240 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:open_folder()
2022-05-11 12:02:56.265316 CLASS: MAIN, METHOD: main() LOG: pelotas peruana nextcloud mi asistente abre la carpeta universidad
2022-05-11 12:02:56.268332 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: open folder Universidad
2022-05-11 12:03:04.465448 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:open_folder(Universidad)
2022-05-11 12:04:42.079607 CLASS: MAIN, METHOD: main() LOG: asistente revisa el correo
2022-05-11 12:04:42.082663 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: check email 
2022-05-11 12:04:42.086108 CLASS: READ_EMAIL, METHOD: read_email_from_gmail LOG: Accediendo a correos sin leer
2022-05-11 12:04:52.235184 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:check_email()
2022-05-11 12:07:06.022098 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 12:07:26.596186 CLASS: MAIN, METHOD: main() LOG: revisa el correo
2022-05-11 12:07:26.599207 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: check email 
2022-05-11 12:07:26.602156 CLASS: READ_EMAIL, METHOD: read_email_from_gmail LOG: Accediendo a correos sin leer
2022-05-11 12:07:37.227156 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:check_email()
2022-05-11 12:09:27.622316 CLASS: MAIN, METHOD: main() LOG: bueno
2022-05-11 12:33:33.821691 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:33:33.973676 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:33:33.982517 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:33:33.987261 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:33:33.991632 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:33:33.994617 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:33:33.999289 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:33:34.002148 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:33:34.005106 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:34:17.526378 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:34:17.729724 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:34:17.738214 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:34:17.743091 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:34:17.748225 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:34:17.753588 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:34:17.758253 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:34:17.764817 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:34:17.770633 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:35:25.905809 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:35:26.059482 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:35:26.064114 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:35:26.067077 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:35:26.070073 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:35:26.074505 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:35:26.077759 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:35:26.080740 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:35:26.083800 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:36:34.067791 CLASS: MAIN, METHOD: main() LOG: asistente asistente asistente
2022-05-11 12:36:34.070798 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado:   
2022-05-11 12:36:54.861185 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:36:55.009613 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:36:55.014921 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:36:55.018146 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:36:55.021382 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:36:55.024507 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:36:55.028221 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:36:55.031431 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:36:55.034708 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:37:42.082633 CLASS: MAIN, METHOD: main() LOG: asistente pon música o no asistente pon música toño asistente
2022-05-11 12:37:42.088899 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: play spotify 
2022-05-11 12:37:46.657104 CLASS: MAIN, METHOD: set_context LOG: Contexto actualizado a: music_context
2022-05-11 12:37:46.664915 CLASS: PLAY_MUSIC, METHOD: play_music LOG: Contexto cambiado a music_context
2022-05-11 12:37:47.709397 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:play_spotify()
2022-05-11 12:37:55.105617 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:37:55.254923 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:37:55.258371 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:37:55.261365 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:37:55.264610 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:37:55.267587 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:37:55.270368 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:37:55.273233 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:37:55.276086 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:38:06.686271 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:38:06.847669 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:38:06.852881 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:38:06.857737 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:38:06.860884 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:38:06.863822 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:38:06.866815 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:38:06.869697 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:38:06.872788 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:38:43.034137 CLASS: MAIN, METHOD: main() LOG: asistente pon música
2022-05-11 12:38:43.037065 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: play spotify 
2022-05-11 12:38:47.203388 CLASS: MAIN, METHOD: set_context LOG: Contexto actualizado a: music_context
2022-05-11 12:38:47.206416 CLASS: PLAY_MUSIC, METHOD: play_music LOG: Contexto cambiado a music_context
2022-05-11 12:38:48.295323 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:play_spotify()
2022-05-11 12:38:58.250831 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:38:58.412323 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:38:58.417275 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:38:58.420357 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:38:58.423469 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:38:58.426457 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:38:58.429368 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:38:58.432437 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:38:58.435470 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:39:11.815324 CLASS: MAIN, METHOD: main() LOG: asistente
2022-05-11 12:39:25.207399 CLASS: MAIN, METHOD: main() LOG: revisa el correo
2022-05-11 12:39:25.210903 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: check email 
2022-05-11 12:39:25.214014 CLASS: READ_EMAIL, METHOD: read_email_from_gmail LOG: Accediendo a correos sin leer
2022-05-11 12:39:35.535196 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:check_email()
2022-05-11 12:39:58.494203 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:39:58.648713 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:39:58.652278 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:39:58.655480 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:39:58.658465 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:39:58.661469 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:39:58.664320 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:39:58.667121 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:39:58.669970 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:40:58.734942 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:40:58.894940 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:40:58.898391 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:40:58.901429 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:40:58.904421 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:40:58.907399 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:40:58.910378 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:40:58.913355 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:40:58.916174 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:41:48.718303 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:41:48.860335 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:41:48.866242 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:41:48.869669 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:41:48.875210 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:41:48.879039 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:41:48.883051 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:41:48.886732 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:41:48.889632 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:42:21.042253 CLASS: MAIN, METHOD: main() LOG: asistente revisa el correo
2022-05-11 12:42:21.045892 CLASS: INTERPRET_COMMAND, METHOD: get_command LOG: Comando interpretado: check email 
2022-05-11 12:42:21.049150 CLASS: READ_EMAIL, METHOD: read_email_from_gmail LOG: Accediendo a correos sin leer
2022-05-11 12:42:31.028110 CLASS: RUN_COMMAND, METHOD: run_command LOG: Ejecutando la funcion:check_email()
2022-05-11 12:42:34.637432 CLASS: MAIN, METHOD: main() LOG: una poya
2022-05-11 12:42:48.955093 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:42:49.113801 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:42:49.117107 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:42:49.120027 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:42:49.123689 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:42:49.127800 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:42:49.131916 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
2022-05-11 12:42:49.135477 CLASS: NOTIFICATION_STORAGE, METHOD: SAVE_NOTIFICATIONS LOG: SE GUARDAN LAS NOTIFICACIONES PARA LUEGO
2022-05-11 12:42:49.139561 CLASS: NOTIFICATION_STORAGE, METHOD: UPDATE_NOTIFICATION_STORAGE LOG: ACTUALIZANDO FICHERO DE NOTIFICACIONES
2022-05-11 12:43:17.416283 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: OBTENIENDO LOS SIGUIENTES 10 EVENTOS DEL CALENDARIO
2022-05-11 12:43:17.784580 CLASS: CALENDAR_CHECK, METHOD: MAIN LOG: NO HAY EVENTOS ENCONTRADOS
2022-05-11 12:43:17.789426 CLASS: NOTIFICATION_STORAGE, METHOD: CHECK_NOTIFICATION LOG: OBTENIENDO NOTIFICACIONES DEL FICHERO
2022-05-11 12:43:17.792680 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFICATION_TIME_OUT LOG: COMPROBANDO SI HAY NOTIFICACIONES QUE DECIR
2022-05-11 12:43:17.795809 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: COMPROBANDO QUE ES MOMENTO DE NOTIFICAR
2022-05-11 12:43:17.799162 CLASS: NOTIFICATION_STORAGE, METHOD: CHECKS_TO_NOTIFY LOG: NO HAY NOTIFICACIONES PARA DECIR AHORA
2022-05-11 12:43:17.802068 CLASS: NOTIFICATION_STORAGE, METHOD: NOTIFY LOG: NO ES MOMENTO DE NOTIFICAR
